nm,Abs
600,0.022
599,0.022
598,0.023
597,0.023
596,0.023
595,0.024
594,0.024
593,0.026
592,0.026
591,0.026
590,0.027
589,0.027
588,0.028
587,0.029
586,0.03
585,0.031
584,0.031
583,0.033
582,0.033
581,0.034
580,0.035
579,0.036
578,0.036
577,0.038
576,0.038
575,0.04
574,0.041
573,0.042
572,0.043
571,0.044
570,0.045
569,0.046
568,0.047
567,0.049
566,0.05
565,0.051
564,0.052
563,0.054
562,0.055
561,0.056
560,0.057
559,0.059
558,0.06
557,0.062
556,0.063
555,0.064
554,0.066
553,0.067
552,0.068
551,0.07
550,0.071
549,0.073
548,0.074
547,0.075
546,0.076
545,0.078
544,0.079
543,0.08
542,0.082
541,0.083
540,0.084
539,0.085
538,0.086
537,0.088
536,0.089
535,0.09
534,0.091
533,0.092
532,0.093
531,0.092
530,0.093
529,0.094
528,0.095
527,0.096
526,0.096
525,0.097
524,0.097
523,0.098
522,0.099
521,0.099
520,0.099
519,0.099
518,0.1
517,0.1
516,0.1
515,0.1
514,0.1
513,0.1
512,0.1
511,0.1
510,0.1
509,0.099
508,0.099
507,0.098
506,0.098
505,0.097
504,0.097
503,0.096
502,0.095
501,0.094
500,0.093
499,0.093
498,0.092
497,0.091
496,0.09
495,0.089
494,0.088
493,0.086
492,0.085
491,0.084
490,0.083
489,0.082
488,0.08
487,0.079
486,0.077
485,0.076
484,0.075
483,0.074
482,0.072
481,0.071
480,0.069
479,0.067
478,0.066
477,0.064
476,0.063
475,0.062
474,0.06
473,0.059
472,0.057
471,0.056
470,0.054
469,0.053
468,0.051
467,0.05
466,0.049
465,0.047
464,0.045
463,0.045
462,0.043
461,0.042
460,0.04
459,0.039
458,0.038
457,0.037
456,0.035
455,0.035
454,0.033
453,0.033
452,0.031
451,0.03
450,0.029
449,0.029
448,0.027
447,0.027
446,0.026
445,0.025
444,0.025
443,0.024
442,0.023
441,0.022
440,0.021
439,0.02
438,0.02
437,0.019
436,0.019
435,0.019
434,0.018
433,0.018
432,0.017
431,0.017
430,0.017
429,0.016
428,0.016
427,0.016
426,0.015
425,0.016
424,0.015
423,0.015
422,0.016
421,0.016
420,0.016
419,0.016
418,0.016
417,0.016
416,0.016
415,0.016
414,0.016
413,0.016
412,0.017
411,0.016
410,0.016
409,0.017
408,0.017
407,0.018
406,0.018
405,0.019
404,0.019
403,0.02
402,0.02
401,0.021
400,0.022
399,0.022
398,0.023
397,0.024
396,0.025
395,0.025
394,0.027
393,0.028
392,0.029
391,0.03
390,0.033
389,0.033
388,0.035
387,0.036
386,0.039
385,0.04
384,0.042
383,0.044
382,0.046
381,0.049
380,0.052
379,0.054
378,0.058
377,0.061
376,0.063
375,0.067
374,0.071
373,0.074
372,0.078
371,0.081
370,0.086
369,0.091
368,0.096
367,0.101
366,0.106
365,0.111
364,0.117
363,0.121
362,0.126
361,0.134
360,0.14
359,0.146
358,0.152
357,0.158
356,0.165
355,0.171
354,0.177
353,0.183
352,0.189
351,0.195
350,0.201
349,0.207
348,0.214
347,0.22
346,0.227
345,0.232
344,0.237
343,0.242
342,0.247
341,0.251
340,0.255
339,0.258
338,0.262
337,0.265
336,0.269
335,0.272
334,0.274
333,0.275
332,0.276
331,0.276
330,0.277
329,0.276
328,0.276
327,0.275
326,0.273
325,0.271
324,0.269
323,0.267
322,0.265
321,0.261
320,0.257
319,0.253
318,0.249
317,0.244
316,0.241
315,0.235
314,0.231
313,0.228
312,0.223
311,0.218
310,0.214
309,0.209
308,0.203
307,0.198
306,0.195
305,0.19
304,0.186
303,0.181
302,0.177
301,0.173
300,0.168
299,0.164
298,0.16
297,0.156
296,0.153
295,0.15
294,0.149
293,0.148
292,0.15
291,0.155
290,0.167
289,0.19
288,0.233
287,0.308
286,0.433
