nm,Abs
600,0.014
599,0.014
598,0.015
597,0.015
596,0.016
595,0.016
594,0.016
593,0.017
592,0.017
591,0.018
590,0.018
589,0.019
588,0.019
587,0.02
586,0.02
585,0.021
584,0.022
583,0.022
582,0.023
581,0.024
580,0.025
579,0.025
578,0.026
577,0.027
576,0.027
575,0.028
574,0.029
573,0.03
572,0.031
571,0.032
570,0.033
569,0.034
568,0.035
567,0.036
566,0.037
565,0.038
564,0.039
563,0.04
562,0.041
561,0.043
560,0.043
559,0.045
558,0.046
557,0.048
556,0.049
555,0.051
554,0.051
553,0.053
552,0.054
551,0.055
550,0.057
549,0.058
548,0.06
547,0.061
546,0.063
545,0.064
544,0.065
543,0.067
542,0.068
541,0.07
540,0.071
539,0.072
538,0.074
537,0.076
536,0.077
535,0.078
534,0.08
533,0.081
532,0.082
531,0.083
530,0.085
529,0.086
528,0.087
527,0.089
526,0.09
525,0.091
524,0.092
523,0.093
522,0.094
521,0.096
520,0.096
519,0.097
518,0.098
517,0.099
516,0.1
515,0.101
514,0.101
513,0.102
512,0.102
511,0.103
510,0.104
509,0.104
508,0.104
507,0.105
506,0.105
505,0.105
504,0.105
503,0.105
502,0.105
501,0.105
500,0.104
499,0.104
498,0.104
497,0.103
496,0.104
495,0.102
494,0.102
493,0.101
492,0.1
491,0.1
490,0.099
489,0.098
488,0.097
487,0.096
486,0.095
485,0.094
484,0.093
483,0.092
482,0.09
481,0.089
480,0.087
479,0.086
478,0.085
477,0.083
476,0.082
475,0.08
474,0.079
473,0.077
472,0.075
471,0.074
470,0.072
469,0.07
468,0.069
467,0.067
466,0.065
465,0.063
464,0.062
463,0.06
462,0.059
461,0.057
460,0.055
459,0.053
458,0.052
457,0.05
456,0.048
455,0.047
454,0.046
453,0.044
452,0.043
451,0.041
450,0.04
449,0.039
448,0.037
447,0.035
446,0.034
445,0.034
444,0.032
443,0.031
442,0.03
441,0.029
440,0.028
439,0.027
438,0.026
437,0.025
436,0.024
435,0.023
434,0.023
433,0.022
432,0.022
431,0.021
430,0.02
429,0.02
428,0.019
427,0.019
426,0.018
425,0.018
424,0.018
423,0.018
422,0.018
421,0.017
420,0.017
419,0.017
418,0.018
417,0.018
416,0.018
415,0.018
414,0.018
413,0.019
412,0.02
411,0.02
410,0.021
409,0.021
408,0.022
407,0.023
406,0.024
405,0.025
404,0.026
403,0.028
402,0.03
401,0.03
400,0.032
399,0.034
398,0.037
397,0.039
396,0.041
395,0.043
394,0.045
393,0.048
392,0.051
391,0.054
390,0.058
389,0.062
388,0.065
387,0.07
386,0.074
385,0.079
384,0.084
383,0.088
382,0.094
381,0.1
380,0.106
379,0.113
378,0.12
377,0.127
376,0.135
375,0.143
374,0.151
373,0.158
372,0.168
371,0.177
370,0.187
369,0.198
368,0.208
367,0.22
366,0.23
365,0.242
364,0.254
363,0.265
362,0.276
361,0.293
360,0.306
359,0.321
358,0.335
357,0.348
356,0.363
355,0.376
354,0.39
353,0.404
352,0.416
351,0.43
350,0.444
349,0.458
348,0.472
347,0.485
346,0.499
345,0.51
344,0.521
343,0.532
342,0.542
341,0.551
340,0.56
339,0.568
338,0.576
337,0.582
336,0.589
335,0.595
334,0.598
333,0.601
332,0.602
331,0.604
330,0.604
329,0.603
328,0.602
327,0.6
326,0.596
325,0.592
324,0.587
323,0.582
322,0.576
321,0.569
320,0.561
319,0.553
318,0.543
317,0.533
316,0.525
315,0.514
314,0.505
313,0.497
312,0.488
311,0.478
310,0.47
309,0.461
308,0.451
307,0.441
306,0.434
305,0.425
304,0.416
303,0.409
302,0.401
301,0.393
300,0.385
299,0.377
298,0.371
297,0.364
296,0.361
295,0.358
294,0.36
293,0.365
292,0.378
291,0.408
290,0.461
289,0.556
288,0.736
287,1.031
286,1.509
