nm,Abs,
281.00,  0.062,
280.00,  0.064,
279.00,  0.067,
278.00,  0.070,
277.00,  0.075,
276.00,  0.079,
275.00,  0.084,
274.00,  0.089,
273.00,  0.094,
272.00,  0.101,
271.00,  0.107,
270.00,  0.116,
269.00,  0.125,
268.00,  0.137,
267.00,  0.150,
266.00,  0.163,
265.00,  0.177,
264.00,  0.190,
263.00,  0.205,
262.00,  0.218,
261.00,  0.232,
260.00,  0.262,
259.00,  0.293,
258.00,  0.318,
257.00,  0.344,
256.00,  0.367,
255.00,  0.390,
254.00,  0.430,
253.00,  0.469,
252.00,  0.502,
251.00,  0.534,
250.00,  0.569,
249.00,  0.602,
248.00,  0.649,
247.00,  0.694,
246.00,  0.733,
245.00,  0.769,
244.00,  0.804,
243.00,  0.840,
242.00,  0.881,
241.00,  0.916,
240.00,  0.954,
239.00,  0.990,
238.00,  1.026,
237.00,  1.063,
236.00,  1.095,
235.00,  1.125,
234.00,  1.155,
233.00,  1.185,
232.00,  1.212,
231.00,  1.240,
230.00,  1.271,
229.00,  1.299,
228.00,  1.328,
227.00,  1.356,
226.00,  1.381,
225.00,  1.404,
224.00,  1.425,
223.00,  1.445,
222.00,  1.465,
221.00,  1.485,
220.00,  1.501,
219.00,  1.522,
218.00,  1.538,
217.00,  1.551,
216.00,  1.559,
215.00,  1.555,
214.00,  1.537,
213.00,  1.491,
212.00,  1.386,
211.00,  1.182,
210.00,  0.836,
209.00,  0.508,
208.00,  0.388,
207.00,  0.347,
206.00,  0.289,
205.00,  0.272,
204.00,  0.251,
203.00,  0.257,
202.00,  0.237,
201.00,  0.229,
200.00,  0.236,
