nm,Abs
600,0.015
599,0.015
598,0.016
597,0.016
596,0.016
595,0.017
594,0.017
593,0.018
592,0.018
591,0.019
590,0.019
589,0.02
588,0.02
587,0.021
586,0.022
585,0.022
584,0.023
583,0.024
582,0.024
581,0.024
580,0.026
579,0.027
578,0.027
577,0.028
576,0.028
575,0.03
574,0.03
573,0.032
572,0.032
571,0.033
570,0.034
569,0.035
568,0.036
567,0.037
566,0.038
565,0.039
564,0.04
563,0.042
562,0.042
561,0.044
560,0.045
559,0.046
558,0.047
557,0.049
556,0.05
555,0.052
554,0.052
553,0.054
552,0.055
551,0.056
550,0.058
549,0.059
548,0.061
547,0.062
546,0.063
545,0.065
544,0.066
543,0.068
542,0.068
541,0.07
540,0.072
539,0.073
538,0.074
537,0.076
536,0.077
535,0.079
534,0.08
533,0.081
532,0.082
531,0.083
530,0.085
529,0.086
528,0.087
527,0.088
526,0.089
525,0.09
524,0.091
523,0.092
522,0.093
521,0.094
520,0.095
519,0.096
518,0.097
517,0.097
516,0.098
515,0.099
514,0.099
513,0.1
512,0.1
511,0.101
510,0.101
509,0.101
508,0.101
507,0.102
506,0.102
505,0.102
504,0.102
503,0.102
502,0.101
501,0.102
500,0.101
499,0.101
498,0.1
497,0.1
496,0.099
495,0.098
494,0.098
493,0.097
492,0.097
491,0.096
490,0.095
489,0.094
488,0.093
487,0.092
486,0.09
485,0.089
484,0.089
483,0.087
482,0.086
481,0.085
480,0.083
479,0.081
478,0.081
477,0.079
476,0.077
475,0.076
474,0.074
473,0.073
472,0.071
471,0.07
470,0.068
469,0.067
468,0.066
467,0.064
466,0.062
465,0.06
464,0.059
463,0.058
462,0.056
461,0.054
460,0.053
459,0.051
458,0.05
457,0.048
456,0.047
455,0.046
454,0.044
453,0.043
452,0.042
451,0.04
450,0.039
449,0.037
448,0.036
447,0.035
446,0.034
445,0.033
444,0.032
443,0.031
442,0.03
441,0.03
440,0.028
439,0.027
438,0.027
437,0.026
436,0.025
435,0.024
434,0.024
433,0.023
432,0.023
431,0.022
430,0.022
429,0.021
428,0.021
427,0.02
426,0.02
425,0.02
424,0.02
423,0.02
422,0.019
421,0.019
420,0.019
419,0.019
418,0.019
417,0.019
416,0.02
415,0.02
414,0.02
413,0.021
412,0.022
411,0.022
410,0.023
409,0.023
408,0.024
407,0.025
406,0.026
405,0.027
404,0.028
403,0.029
402,0.031
401,0.032
400,0.033
399,0.035
398,0.037
397,0.039
396,0.041
395,0.043
394,0.046
393,0.048
392,0.051
391,0.054
390,0.057
389,0.06
388,0.064
387,0.068
386,0.072
385,0.076
384,0.08
383,0.085
382,0.089
381,0.095
380,0.1
379,0.106
378,0.112
377,0.119
376,0.125
375,0.133
374,0.14
373,0.147
372,0.154
371,0.162
370,0.172
369,0.181
368,0.191
367,0.201
366,0.21
365,0.221
364,0.231
363,0.241
362,0.251
361,0.266
360,0.277
359,0.29
358,0.302
357,0.314
356,0.327
355,0.339
354,0.351
353,0.363
352,0.374
351,0.386
350,0.398
349,0.41
348,0.423
347,0.434
346,0.446
345,0.456
344,0.466
343,0.475
342,0.483
341,0.492
340,0.5
339,0.507
338,0.514
337,0.52
336,0.526
335,0.531
334,0.534
333,0.536
332,0.538
331,0.539
330,0.54
329,0.539
328,0.538
327,0.536
326,0.533
325,0.529
324,0.525
323,0.521
322,0.515
321,0.509
320,0.503
319,0.496
318,0.487
317,0.479
316,0.471
315,0.463
314,0.455
313,0.447
312,0.44
311,0.431
310,0.424
309,0.416
308,0.407
307,0.399
306,0.393
305,0.385
304,0.377
303,0.371
302,0.364
301,0.356
300,0.35
299,0.343
298,0.337
297,0.331
296,0.328
295,0.325
294,0.325
293,0.329
292,0.339
291,0.361
290,0.404
289,0.48
288,0.625
287,0.864
286,1.252
