nm,Abs
600,0.022
599,0.023
598,0.023
597,0.024
596,0.024
595,0.025
594,0.025
593,0.026
592,0.027
591,0.027
590,0.029
589,0.029
588,0.03
587,0.03
586,0.032
585,0.032
584,0.033
583,0.034
582,0.035
581,0.036
580,0.037
579,0.039
578,0.039
577,0.04
576,0.041
575,0.043
574,0.043
573,0.045
572,0.046
571,0.048
570,0.048
569,0.05
568,0.051
567,0.053
566,0.054
565,0.055
564,0.056
563,0.058
562,0.058
561,0.06
560,0.062
559,0.063
558,0.065
557,0.066
556,0.067
555,0.069
554,0.07
553,0.072
552,0.073
551,0.074
550,0.076
549,0.077
548,0.079
547,0.08
546,0.081
545,0.083
544,0.084
543,0.085
542,0.086
541,0.088
540,0.088
539,0.09
538,0.091
537,0.093
536,0.093
535,0.095
534,0.095
533,0.096
532,0.097
531,0.096
530,0.097
529,0.097
528,0.099
527,0.099
526,0.1
525,0.1
524,0.1
523,0.101
522,0.101
521,0.101
520,0.101
519,0.102
518,0.102
517,0.101
516,0.101
515,0.101
514,0.101
513,0.101
512,0.1
511,0.1
510,0.099
509,0.099
508,0.098
507,0.098
506,0.097
505,0.096
504,0.095
503,0.094
502,0.093
501,0.092
500,0.091
499,0.09
498,0.089
497,0.088
496,0.087
495,0.085
494,0.084
493,0.083
492,0.081
491,0.08
490,0.079
489,0.077
488,0.076
487,0.074
486,0.073
485,0.071
484,0.069
483,0.068
482,0.066
481,0.065
480,0.064
479,0.062
478,0.06
477,0.059
476,0.057
475,0.056
474,0.055
473,0.053
472,0.051
471,0.05
470,0.049
469,0.047
468,0.046
467,0.045
466,0.043
465,0.042
464,0.04
463,0.039
462,0.038
461,0.037
460,0.036
459,0.034
458,0.033
457,0.032
456,0.031
455,0.03
454,0.029
453,0.028
452,0.027
451,0.026
450,0.026
449,0.025
448,0.024
447,0.023
446,0.022
445,0.022
444,0.021
443,0.02
442,0.02
441,0.019
440,0.018
439,0.018
438,0.017
437,0.018
436,0.017
435,0.016
434,0.016
433,0.016
432,0.015
431,0.015
430,0.014
429,0.014
428,0.014
427,0.013
426,0.014
425,0.014
424,0.014
423,0.013
422,0.015
421,0.014
420,0.015
419,0.015
418,0.015
417,0.015
416,0.015
415,0.015
414,0.015
413,0.015
412,0.015
411,0.015
410,0.015
409,0.015
408,0.015
407,0.016
406,0.016
405,0.016
404,0.016
403,0.017
402,0.018
401,0.017
400,0.018
399,0.019
398,0.019
397,0.02
396,0.02
395,0.021
394,0.022
393,0.023
392,0.023
391,0.024
390,0.025
389,0.026
388,0.027
387,0.028
386,0.029
385,0.03
384,0.031
383,0.033
382,0.034
381,0.036
380,0.037
379,0.039
378,0.041
377,0.043
376,0.044
375,0.047
374,0.049
373,0.052
372,0.053
371,0.056
370,0.058
369,0.062
368,0.064
367,0.068
366,0.071
365,0.074
364,0.077
363,0.08
362,0.083
361,0.088
360,0.091
359,0.096
358,0.1
357,0.103
356,0.107
355,0.111
354,0.115
353,0.12
352,0.123
351,0.127
350,0.13
349,0.135
348,0.139
347,0.142
346,0.146
345,0.149
344,0.153
343,0.156
342,0.159
341,0.161
340,0.164
339,0.166
338,0.168
337,0.17
336,0.172
335,0.175
334,0.176
333,0.177
332,0.177
331,0.178
330,0.178
329,0.178
328,0.178
327,0.177
326,0.176
325,0.175
324,0.174
323,0.173
322,0.171
321,0.169
320,0.167
319,0.164
318,0.162
317,0.159
316,0.157
315,0.153
314,0.152
313,0.149
312,0.147
311,0.144
310,0.141
309,0.138
308,0.134
307,0.132
306,0.129
305,0.127
304,0.124
303,0.121
302,0.118
301,0.116
300,0.113
299,0.111
298,0.108
297,0.106
296,0.104
295,0.102
294,0.102
293,0.101
292,0.102
291,0.104
290,0.111
289,0.121
288,0.143
287,0.182
286,0.247
